step,model_id,win_rate_mean,win_rate_ci_lower,win_rate_ci_upper
0,M1,0.0,0.0,0.008890535628588388
0,M2,0.0,0.0,0.010161986321465673
0,M3,0.0,0.0,0.010185524025831455
0,M4,0.0,0.0,0.00984781683829024
500000,M1,0.041764395970412496,0.03332820760352843,0.050200584337296565
500000,M2,0.05158551741185755,0.041942855330405954,0.06122817949330915
500000,M3,0.05915219040432222,0.049498548964417265,0.06880583184422719
500000,M4,0.06645583305683678,0.05712226391678932,0.07578940219688424
1000000,M1,0.09030066922026851,0.08239249813537812,0.0982088403051589
1000000,M2,0.11153535532190154,0.10249622317624629,0.12057448746755678
1000000,M3,0.14024572861433607,0.13132126120011384,0.1491701960285583
1000000,M4,0.15756215727638948,0.14893358595775516,0.1661907285950238
1500000,M1,0.14277189326268971,0.13543454707321592,0.1501092394521635
1500000,M2,0.1763454687826437,0.16795879617615533,0.18473214138913208
1500000,M3,0.23637929758650775,0.2283192406177781,0.24443935455523738
1500000,M4,0.26556553580057224,0.2577727148781598,0.2733583567229847
2000000,M1,0.19524311730511093,0.18847659601105374,0.20200963859916812
2000000,M2,0.24115558224338593,0.23342136917606446,0.2488897953107074
2000000,M3,0.33251286655867945,0.3253172200354424,0.3397085130819165
2000000,M4,0.37356891432475503,0.3666118437985644,0.3805259848509457
2500000,M1,0.24377939055496692,0.2375408865429034,0.25001789456703044
2500000,M2,0.3011054201534299,0.2939747370219048,0.308236103284955
2500000,M3,0.41360640476869337,0.40713993227113904,0.4200728772662477
2500000,M4,0.4646752385443078,0.4584231658395303,0.4709273112490853
3000000,M1,0.2855437865253794,0.27975962977502017,0.2913279432757386
3000000,M2,0.35269093756528735,0.3460795786737763,0.3593022964567984
3000000,M3,0.47275859517301555,0.46682400526138773,0.47869318508464337
3000000,M4,0.5311310716011446,0.5253932465946098,0.5368688966076793
3500000,M1,0.3193026880217689,0.3138857882159109,0.32471958782762694
3500000,M2,0.39438842559267107,0.388196845688883,0.4005800054964591
3500000,M3,0.5114864822281937,0.5059001243697423,0.5170728400866451
3500000,M4,0.5746407705521219,0.569239631755173,0.5800419093490708
4000000,M1,0.3452378223414529,0.34010306614108193,0.35037257854182385
4000000,M2,0.42642234568036314,0.4205532592212253,0.432291432139501
4000000,M3,0.5350794854689304,0.5297052703475049,0.5404537005903558
4000000,M4,0.6011468504446636,0.5959508206644435,0.6063428802248838
4500000,M1,0.36439472639444864,0.35946837466628356,0.3693210781226137
4500000,M2,0.45008409834364094,0.44445322063641207,0.4557149760508698
4500000,M3,0.5488266041869004,0.5435759999242238,0.5540772084495771
4500000,M4,0.6165913541948946,0.6115148368809056,0.6216678715088837
5000000,M1,0.37813812160477916,0.37336128177150074,0.3829149614380576
5000000,M2,0.4670593265601055,0.46159934269934516,0.47251931042086587
5000000,M3,0.5566297920552638,0.551449352222907,0.5618102318876205
5000000,M4,0.6253580177241153,0.6203493384964731,0.6303666969517574
