grid_x,grid_y,x_coord,y_coord,density_M1,density_M4
0,0,-1.0,-0.42,1.5549275988025713e-07,5.152181665981392e-06
0,1,-1.0,-0.34363636363636363,6.681083827151368e-07,7.823177247347556e-06
0,2,-1.0,-0.2672727272727272,2.1446494719860647e-06,1.157762338697828e-05
0,3,-1.0,-0.19090909090909092,5.143258697922094e-06,1.6600698256501915e-05
0,4,-1.0,-0.1145454545454545,9.214951817196564e-06,2.2034829364760936e-05
0,5,-1.0,-0.038181818181818206,1.2334467883581075e-05,2.574967472220385e-05
0,6,-1.0,0.03818181818181815,1.2334467883581075e-05,2.574967472220385e-05
0,7,-1.0,0.11454545454545456,9.214951817196564e-06,2.2034829364760916e-05
0,8,-1.0,0.19090909090909097,5.143258697922085e-06,1.6600698256501898e-05
0,9,-1.0,0.2672727272727273,2.1446494719860647e-06,1.1577623386978273e-05
0,10,-1.0,0.3436363636363636,6.681083827151368e-07,7.823177247347556e-06
0,11,-1.0,0.42,1.5549275988025713e-07,5.152181665981392e-06
1,0,-0.8666666666666667,-0.42,1.3929676675811268e-06,3.527257469973431e-05
1,1,-0.8666666666666667,-0.34363636363636363,5.985187839477467e-06,5.430417809858901e-05
1,2,-0.8666666666666667,-0.2672727272727272,1.9212646139100668e-05,8.186841221600866e-05
1,3,-0.8666666666666667,-0.19090909090909092,4.607541262839568e-05,0.00011947195681201203
1,4,-0.8666666666666667,-0.1145454545454545,8.255130302888519e-05,0.0001605143462092319
1,5,-0.8666666666666667,-0.038181818181818206,0.00011049720238985746,0.00018866204406443142
1,6,-0.8666666666666667,0.03818181818181815,0.00011049720238985746,0.00018866204406443142
1,7,-0.8666666666666667,0.11454545454545456,8.255130302888519e-05,0.00016051434620923197
1,8,-0.8666666666666667,0.19090909090909097,4.607541262839559e-05,0.0001194719568120119
1,9,-0.8666666666666667,0.2672727272727273,1.9212646139100668e-05,8.186841221600861e-05
1,10,-0.8666666666666667,0.3436363636363636,5.985187839477478e-06,5.430417809858901e-05
1,11,-0.8666666666666667,0.42,1.3929676675811268e-06,3.527257469973431e-05
2,0,-0.7333333333333334,-0.42,9.845278886756734e-06,0.00020077551463730184
2,1,-0.7333333333333334,-0.34363636363636363,4.230237703334833e-05,0.0003110279857410727
2,2,-0.7333333333333334,-0.2672727272727272,0.00013579199560351582,0.0004727245257645272
2,3,-0.7333333333333334,-0.19090909090909092,0.0003256538523515503,0.0006950573679991719
2,4,-0.7333333333333334,-0.1145454545454545,0.0005834597741926451,0.0009385752204347671
2,5,-0.7333333333333334,-0.038181818181818206,0.0007809770456651257,0.001105796343045068
2,6,-0.7333333333333334,0.03818181818181815,0.0007809770456651257,0.001105796343045068
2,7,-0.7333333333333334,0.11454545454545456,0.0005834597741926451,0.0009385752204347671
2,8,-0.7333333333333334,0.19090909090909097,0.0003256538523515503,0.0006950573679991719
2,9,-0.7333333333333334,0.2672727272727273,0.00013579199560351582,0.0004727245257645272
2,10,-0.7333333333333334,0.3436363636363636,4.230237703334833e-05,0.0003110279857410729
2,11,-0.7333333333333334,0.42,9.845278886756734e-06,0.00020077551463730184
